   
, ,Amphisbaena,Boalisk,Constrictor (Normal),Constrictor (Giant),Heway,Poison (Normal),Poison (Giant),Sea, Giant,Spitting,   
,Climate/Terrain,,Any temperate,,Any tropical,,Any warm,,Any warm,,Desert oases,,Any land,,Any land,,Tropical marine,,Tropical land,   
,Frequency,,Very rare,,Rare,,Uncommon,,Uncommon,,Uncommon,,Uncommon,,Uncommon,,Uncommon,,Rare,   
,Organization,,Solitary,,Solitary,,Solitary,,Solitary,,Solitary,,Solitary,,Solitary,,Solitary,,Solitary,   
,Activity Cycle,,Day,,Day,,Any,,Any,,Dawn and dusk,,Any,,Any,,Any,,Any,   
,Diet,,Carnivore,,Carnivore,,Carnivore,,Carnivore,,Carnivore,,Carnivore,,Carnivore,,Carnivore,,Carnivore,   
,Intelligence,,Animal (1),,Animal (1),,Animal (1),,Animal (1),,Low (5-7),,Animal (1),,Animal (1),,Animal (1),,Animal (1),   
,Treasure,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,   
,Alignment,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,   
,No. Appearing,,1-3,,1-3,,1-2,,1-2,,1-2,,1-6,,1-6,,1-8,,1-4,   
,Armor Class,,3,,5,,6,,5,,7,,6,,5,,5,,5,   
,Movement,,12,,12,,9,,9,,12, Sw 6,,15,,15,,12, Sw 12,,12,   
,Hit Dice,,6,,5+1,,3+2,,6+1,,1+3,,2+1,,4+2,,10,,4+2,   
,THAC0,,15,,17,,17,,15,,19,,19,,17,,11,,17,   
,No. of Attacks,,2,,2,,2,,2,,1,,1,,1,,2,,2,   
,Damage/Attack,,1-3/1-3,,1-3/2-7,,1/1-3,,1-4/2-8,,1-3,,1,,1-3,,1-6/3-18,,1-3,   
,Special Attacks,,Poison,,Gaze and constrict,,Constrict,,Constrict,,Poison and hypnotic stare,,Poison,,Poison,,Poison, constrict,,Spit Poison,   
,Special Defenses,,See below,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,   
,Magic Resistance,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,,Nil,   
,Size,,M (13' long),,L (25' long),,M (10-20' long),,L (30'+ long),,M (12' long),,S (5' long),,M (12' long),,G (50'+ long),,M (8' long),   
,Morale,,Average (9),,Average (10),,Average (8),,Average (9),,Unsteady (6),,Average (8),,Average (9),,Steady (11),,Average (9),   
,XP Value:ElderJaculi,,6501,400975,,9752,0001,400,,175420270,,6501,400975,,175420N/A,,175420270,,420975650,,3,0005,000N/A,,6501,400975,  
